Method,Formation,Formation Slot,Name,Match Source,Player Key,PAC,SHO,PAS,DRI,DEF,PHY
Role-Adjusted Quality (lambda=0.25),4-4-2,ST1,Harry Kane,Player Key / ID,202126,64.0,92.0,83.0,82.0,48.0,82.0
Role-Adjusted Quality (lambda=0.25),4-4-2,ST2,Erling Haaland,Player Key / ID,239085,86.0,91.0,70.0,80.0,45.0,88.0
Role-Adjusted Quality (lambda=0.25),4-1-2-1-2,LB,Nuno Mendes,Player Key / ID,252145,95.0,65.0,76.0,82.0,80.0,77.0
Role-Adjusted Quality (lambda=0.25),4-1-2-1-2,CB1,Virgil van Dijk,Player Key / ID,203376,73.0,60.0,72.0,72.0,90.0,87.0
Role-Adjusted Quality (lambda=0.25),4-1-2-1-2,CB2,Gabriel,Player Key / ID,232580,64.0,44.0,64.0,65.0,88.0,84.0
Role-Adjusted Quality (lambda=0.25),4-1-2-1-2,RB,Achraf Hakimi,Player Key / ID,235212,92.0,79.0,82.0,83.0,82.0,79.0
Role-Adjusted Quality (lambda=0.25),4-1-2-1-2,DM,Moisés Caicedo,Player Key / ID,256079,71.0,64.0,78.0,81.0,84.0,82.0
Role-Adjusted Quality (lambda=0.25),4-1-2-1-2,CM1,Pedri,Player Key / ID,251854,77.0,73.0,85.0,91.0,78.0,77.0
Role-Adjusted Quality (lambda=0.25),4-1-2-1-2,CM2,Vitinha,Player Key / ID,255253,72.0,80.0,86.0,90.0,75.0,70.0
Role-Adjusted Quality (lambda=0.25),4-1-2-1-2,AM,Jamal Musiala,Player Key / ID,256790,80.0,82.0,80.0,90.0,66.0,65.0
Role-Adjusted Quality (lambda=0.25),4-1-2-1-2,ST1,Harry Kane,Player Key / ID,202126,64.0,92.0,83.0,82.0,48.0,82.0
Role-Adjusted Quality (lambda=0.25),4-1-2-1-2,ST2,Erling Haaland,Player Key / ID,239085,86.0,91.0,70.0,80.0,45.0,88.0
Role-Adjusted Quality (lambda=0.25),3-5-2,CB1,Virgil van Dijk,Player Key / ID,203376,73.0,60.0,72.0,72.0,90.0,87.0
Role-Adjusted Quality (lambda=0.25),3-5-2,CB2,Jonathan Tah,Player Key / ID,213331,63.0,38.0,60.0,63.0,87.0,86.0
Role-Adjusted Quality (lambda=0.25),3-5-2,CB3,Gabriel,Player Key / ID,232580,64.0,44.0,64.0,65.0,88.0,84.0
Role-Adjusted Quality (lambda=0.25),3-5-2,LWB,Nuno Mendes,Player Key / ID,252145,95.0,65.0,76.0,82.0,80.0,77.0
Role-Adjusted Quality (lambda=0.25),3-5-2,RWB,Achraf Hakimi,Player Key / ID,235212,92.0,79.0,82.0,83.0,82.0,79.0
Role-Adjusted Quality (lambda=0.25),3-5-2,DM,Moisés Caicedo,Player Key / ID,256079,71.0,64.0,78.0,81.0,84.0,82.0
Role-Adjusted Quality (lambda=0.25),3-5-2,CM1,Pedri,Player Key / ID,251854,77.0,73.0,85.0,91.0,78.0,77.0
Role-Adjusted Quality (lambda=0.25),3-5-2,CM2,Vitinha,Player Key / ID,255253,72.0,80.0,86.0,90.0,75.0,70.0
Role-Adjusted Quality (lambda=0.25),3-5-2,ST1,Harry Kane,Player Key / ID,202126,64.0,92.0,83.0,82.0,48.0,82.0
Role-Adjusted Quality (lambda=0.25),3-5-2,ST2,Erling Haaland,Player Key / ID,239085,86.0,91.0,70.0,80.0,45.0,88.0
Role-Adjusted Quality (lambda=0.25),3-4-3,CB1,Virgil van Dijk,Player Key / ID,203376,73.0,60.0,72.0,72.0,90.0,87.0
Role-Adjusted Quality (lambda=0.25),3-4-3,CB2,Jonathan Tah,Player Key / ID,213331,63.0,38.0,60.0,63.0,87.0,86.0
Role-Adjusted Quality (lambda=0.25),3-4-3,CB3,Gabriel,Player Key / ID,232580,64.0,44.0,64.0,65.0,88.0,84.0
Role-Adjusted Quality (lambda=0.25),3-4-3,LWB,Nuno Mendes,Player Key / ID,252145,95.0,65.0,76.0,82.0,80.0,77.0
Role-Adjusted Quality (lambda=0.25),3-4-3,RWB,Achraf Hakimi,Player Key / ID,235212,92.0,79.0,82.0,83.0,82.0,79.0
Role-Adjusted Quality (lambda=0.25),3-4-3,CM1,Pedri,Player Key / ID,251854,77.0,73.0,85.0,91.0,78.0,77.0
Role-Adjusted Quality (lambda=0.25),3-4-3,CM2,Vitinha,Player Key / ID,255253,72.0,80.0,86.0,90.0,75.0,70.0
Role-Adjusted Quality (lambda=0.25),3-4-3,LW,Vini Jr.,Player Key / ID,238794,95.0,84.0,81.0,91.0,29.0,69.0
Role-Adjusted Quality (lambda=0.25),3-4-3,RW,Mohamed Salah,Player Key / ID,209331,89.0,88.0,86.0,90.0,45.0,76.0
Role-Adjusted Quality (lambda=0.25),3-4-3,ST,Erling Haaland,Player Key / ID,239085,86.0,91.0,70.0,80.0,45.0,88.0
Role-Adjusted Quality (lambda=0.25),5-3-2,LB,Nuno Mendes,Player Key / ID,252145,95.0,65.0,76.0,82.0,80.0,77.0
Role-Adjusted Quality (lambda=0.25),5-3-2,CB1,Virgil van Dijk,Player Key / ID,203376,73.0,60.0,72.0,72.0,90.0,87.0
Role-Adjusted Quality (lambda=0.25),5-3-2,CB2,Jonathan Tah,Player Key / ID,213331,63.0,38.0,60.0,63.0,87.0,86.0
Role-Adjusted Quality (lambda=0.25),5-3-2,CB3,Gabriel,Player Key / ID,232580,64.0,44.0,64.0,65.0,88.0,84.0
Role-Adjusted Quality (lambda=0.25),5-3-2,RB,Achraf Hakimi,Player Key / ID,235212,92.0,79.0,82.0,83.0,82.0,79.0
Role-Adjusted Quality (lambda=0.25),5-3-2,DM,Moisés Caicedo,Player Key / ID,256079,71.0,64.0,78.0,81.0,84.0,82.0
Role-Adjusted Quality (lambda=0.25),5-3-2,CM1,Pedri,Player Key / ID,251854,77.0,73.0,85.0,91.0,78.0,77.0
Role-Adjusted Quality (lambda=0.25),5-3-2,CM2,Vitinha,Player Key / ID,255253,72.0,80.0,86.0,90.0,75.0,70.0
Role-Adjusted Quality (lambda=0.25),5-3-2,ST1,Harry Kane,Player Key / ID,202126,64.0,92.0,83.0,82.0,48.0,82.0
Role-Adjusted Quality (lambda=0.25),5-3-2,ST2,Erling Haaland,Player Key / ID,239085,86.0,91.0,70.0,80.0,45.0,88.0
